PRICE,DISCOUNT_AMT,AMT,QTY,age,educ,size_hh,income_cat,income_est,Min_TIER,TENURE,sales_prop,spring_prop,fall_prop,holiday_prop,bts_prop,clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,prop_m_prod,prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,CLUSTER,DISTANCE
30,0,30,1,37,1,1,65k-85k,75,2,1162,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,1,18,1,24,1,2.802579696
32.97,0,32.97,1,17,1,1,65k-85k,75,2,1175,1,0,0,0,0,0.46,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,3,11,0,0,1,0,493,,,,2,0,0,1,0,0,0,0,0,0,14,1,22,1,3.928211729
34.9,0,34.9,1,37,1,1,65k-85k,75,2,980,0,0,0,1,0,0.53,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,4,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,16,1,11,1,3.73024991
34.9,0,34.9,1,37,1,2,65k-85k,75,2,1102,0,0,1,0,0,0.1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,7,172,2,0,0,0,341,55,6,,4,0,0,1,0,0,0,0,0,0,18,0,18,1,3.517635435
34.95,0,34.95,1,17,1,1,65k-85k,75,2,1358,0,0,0,1,0,0.03,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,7,5,0,1,1,0,2,79,64,259,5,1,0,0,0,0,0,0,0,0,16,1,0,1,4.254782031
34.95,0,34.95,1,17,1,1,65k-85k,75,2,1220,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,10,104,10,0,1,0,3,201,34,119,5,1,0,0,0,0,0,0,0,0,16,0,10,1,4.0094252
34.95,0,34.95,1,37,1,1,65k-85k,75,2,1153,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,24,0,1,0,0,24,483,,,3,0,0,0,0,0,0,0,0,1,12,1,29,1,3.793847695
34.95,0,34.95,1,37,1,1,65k-85k,75,2,888,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,3,168,1,1,0,0,556,,,,2,0,0,0,0,0,0,0,0,1,12,0,10,1,2.752307851
34.95,0,34.95,1,17,1,1,65k-85k,75,2,1011,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,168,3,0,1,0,,,,,1,0,0,0,0,0,0,0,1,0,14,1,16,1,3.277234309
34.95,0,34.95,1,37,1,1,65k-85k,75,2,1149,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,12,3,0,0,0,458,,,,2,0,0,1,0,0,0,0,0,0,18,0,22,1,2.657430598
